simTime,simDelta,xPos,yPos,zPos,speed,heading,steering,gas,brake,state1,state2,state3,state4,state5,state6,eulerX,eulerY,eulerZ,rpm,gear,leftBlinker,rightBlinker
20.96583,0.016666,-89.0978,104.9477,-0.5031708,27.7806,-0.3399542,7.416,0.3379801,0,10,0,0,0,0,8.75,-0.06132075,-0.1864484,-0.3399542,1220.369,3,1,1
20.98249,0.016666,-88.89085,104.9466,-0.503186,27.77535,-0.3303188,7.416,0.3379801,0,10,0,0,0,0,8.75,-0.06321193,-0.1857721,-0.3303188,1220.341,3,1,1
20.99915,0.016666,-88.68394,104.9455,-0.5031984,27.77014,-0.3203958,7.452,0.3379801,0,10,0,0,0,0,8.75,-0.06465057,-0.1853723,-0.3203958,1219.886,3,1,1
21.01581,0.016666,-88.47707,104.9445,-0.5032077,27.76489,-0.3102187,7.56,0.3379801,0,10,0,0,0,0,8.75,-0.06562997,-0.1852413,-0.3102187,1219.805,3,1,1
21.03247,0.016666,-88.27024,104.9435,-0.5032142,27.75969,-0.2998225,7.704,0.3379801,0,10,0,0,0,0,8.75,-0.06616894,-0.1853683,-0.2998225,1219.438,3,1,1
21.04913,0.016666,-88.06345,104.9425,-0.5032177,27.75445,-0.2892414,7.848,0.3379801,0,10,0,0,0,0,8.75,-0.06631664,-0.1857374,-0.2892414,1219.324,3,1,1
21.06579,0.016666,-87.8567,104.9416,-0.5032183,27.7492,-0.2785074,8.064,0.2705907,0,10,0,0,0,0,8.75,-0.06613865,-0.18633,-0.2785074,1218.908,3,1,1
21.08245,0.016666,-87.64998,104.9407,-0.5032161,27.74383,-0.2676502,8.243999,0.2705907,0,10,0,0,0,0,8.75,-0.06570683,-0.1871423,-0.2676502,1218.531,3,1,1
21.09911,0.016666,-87.44331,104.9399,-0.5032111,27.73848,-0.2566942,8.424,0.2705907,0,10,0,0,0,0,8.75,-0.06510817,-0.1881547,-0.2566942,1218.124,3,1,1
21.11577,0.016666,-87.23667,104.9391,-0.5032034,27.73309,-0.2456576,8.639999,0.2705907,0,10,0,0,0,0,8.75,-0.06443737,-0.1893439,-0.2456576,1218.198,3,1,1
21.13243,0.016666,-87.03008,104.9383,-0.5031931,27.7277,-0.2345528,8.82,0.2705907,0,10,0,0,0,0,8.75,-0.06378836,-0.1906846,-0.2345528,1218.162,3,1,1
21.14909,0.016666,-86.82352,104.9376,-0.5031804,27.72233,-0.2233861,8.964,0.2705907,0,10,0,0,0,0,8.75,-0.06325039,-0.1921496,-0.2233861,1217.599,3,1,1
21.16575,0.016666,-86.617,104.9369,-0.5031654,27.71697,-0.2121584,9.072,0.3379801,0,10,0,0,0,0,8.75,-0.06290276,-0.193711,-0.2121584,1217.708,3,1,1
21.18241,0.016666,-86.41053,104.9363,-0.5031484,27.71176,-0.200865,9.144,0.3379801,0,10,0,0,0,0,8.75,-0.06281122,-0.1953274,-0.200865,1217.202,3,1,1
21.19907,0.016666,-89.0978,104.9477,-0.5031708,27.7806,-0.3399542,7.416,0.3379801,0,10,0,0,0,0,8.75,-0.06132075,-0.1864484,-0.3399542,1220.369,3,1,1
21.21573,0.016666,-88.89085,104.9466,-0.503186,27.77535,-0.3303188,7.416,0.3379801,0,10,0,0,0,0,8.75,-0.06321193,-0.1857721,-0.3303188,1220.341,3,1,1
21.23239,0.016666,-88.68394,104.9455,-0.5031984,27.77014,-0.3203958,7.452,0.3379801,0,10,0,0,0,0,8.75,-0.06465057,-0.1853723,-0.3203958,1219.886,3,1,1
